GEBIET_NAME,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],1996,78
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],1997,75
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],1998,70
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],1999,60
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2000,61
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2001,55
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2002,55
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2003,63
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2004,64
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2005,62
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2006,62
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2007,58
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2008,62
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2009,72
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2010,75
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2011,71
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2012,73
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2013,67
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2014,71
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2015,71
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2016,70
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2017,64
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2018,60
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2019,60
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2020,73
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],2021,85
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],1994,25
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],1995,25
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],1996,28
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],1997,28
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],1998,26
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],1999,24
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2000,21
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2001,20
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2002,19
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2003,22
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2004,22
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2005,21
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2006,22
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2007,22
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2008,25
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2009,29
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2010,29
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2011,27
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2012,32
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2013,30
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2014,31
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2015,31
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2016,33
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2017,27
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2018,27
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2019,25
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2020,30
Maschwanden,Gemeindebeitrag an ZVV [Fr./Einw.],2021,35
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],1994,71
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],1995,69
